ISO3166-2,NAME_EN,type,WIKIDATA,MS_FB_PARE,MS_FB
PK-BA,Balochistan,Province,Q163239,country:pk,country:pk/province:ba
PK-SD,Sindh,Province,Q37211,country:pk,country:pk/province:sd
PK-PB,Punjab,Province,Q4478,country:pk,country:pk/province:pb
PK-GB,Gilgit-Baltistan,Administrative Territory,Q200697,country:pk,country:pk/administrative-territory:gb
PK-IS,Islamabad Capital Territory,Federal Territory,Q848613,country:pk,country:pk/federal-territory:is
PK-JK,Azad Jammu and Kashmir,Administrative Territory,Q200130,country:pk,country:pk/administrative-territory:jk
PK-KP,Khyber Pakhtunkhwa,Province,Q183314,country:pk,country:pk/province:kp
