WIKIDATA,NAME_EN,NAME_UR,MS_FB,MS_FB_PARE
Q8660,Karachi,کراچی,country:pk/province:sd/city:karachi,country:pk/province:sd
Q11739,Lahore,لاہور,country:pk/province:pb/city:lahore,country:pk/province:pb
Q93230,Rawalpindi,راولپنڈی,country:pk/province:pb/city:rawalpindi,country:pk/province:pb
Q173985,Faisalabad,فیصل آباد,country:pk/province:pb/city:faisalabad,country:pk/province:pb
Q185453,Multan,ملتان,country:pk/province:pb/city:multan,country:pk/province:pb
Q185458,Quetta,کوئٹہ,country:pk/province:ba/city:quetta,country:pk/province:ba
Q243322,Gujranwala,گوجرانوالہ,country:pk/province:pb/city:gujranwala,country:pk/province:pb
Q643883,Sialkot,سیالکوٹ,country:pk/province:pb/city:sialkot,country:pk/province:pb
Q696605,Larkana,لاڑکانہ,country:pk/province:sd/city:larkana,country:pk/province:sd
Q855997,Sargodha,سرگودھا,country:pk/province:pb/city:sargodha,country:pk/province:pb
Q868631,Sukkur,سکھر,country:pk/province:sd/city:sukkur,country:pk/province:sd
Q929062,Gujrat,گجرات,country:pk/province:pb/city:gujrat,country:pk/province:pb
Q999076,Dera Ghazi Khan,ڈیرہ غازی خان,country:pk/province:pb/city:dera-ghazi-khan,country:pk/province:pb
Q1640079,Hyderabad,حیدرآباد,country:pk/province:sd/city:hyderabad,country:pk/province:sd
