NAME_EN,WIKIDATA,flacs_qid,MS_FB_PARE,MS_FB
Balochistan,Q58781025,Q163239,country:pk,country:pk/senate-constituency:ba
Sindh,Q58781026,Q37211,country:pk,country:pk/senate-constituency:sd
Punjab,Q58781031,Q4478,country:pk,country:pk/senate-constituency:pb
Federal Capital,Q58781038,Q848613,country:pk,country:pk/senate-constituency:is
Federally Administered Tribal Areas,Q58781044,Q208270,country:pk,country:pk/senate-constituency:ta
Khyber Pakhtunkhwa,Q58781030,Q183314,country:pk,country:pk/senate-constituency:kp
