NAME_EN,PROVINCE,WIKIDATA,MS_FB_PARE,MS_FB
reserved seat for Women in the National Assembly (Balochistan),Balochistan,Q58899303,country:pk,country:pk/national-assembly-reserved-seat:women-balochistan
reserved seat for Women in National Assembly (Sindh),Sindh,Q58899207,country:pk,country:pk/national-assembly-reserved-seat:women-sindh
reserved seat for Women in the National Assembly (Punjab),Punjab,Q58899189,country:pk,country:pk/national-assembly-reserved-seat:women-punjab
reserved seats for Women in the National Assembly (Khyber Pukhtunkhwa),Khyber Pakhtunkhwa,Q58899089,country:pk,country:pk/national-assembly-reserved-seat:women-khyber-pukhtunkhwa
reserved seats for minorities,,Q33513308,country:pk,country:pk/national-assembly-reserved-seat:minorities
