ID,PROVINCE,NAME_EN,WIKIDATA,MS_FB_PARE,MS_FB
NA-136,Punjab,NA-136 (Lahore-XIV),Q55624356,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:136
NA-100,Punjab,NA-100 Chiniot-II,Q58401227,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:100
NA-154,Punjab,NA-154 Multan-I,Q58400822,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:154
NA-182,Punjab,NA-182 (Muzaffargarh-II),Q55624378,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:182
NA-57,Punjab,NA-57 Rawalpindi-I,Q58401085,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:57
NA-121,Punjab,NA-121 Sheikhupura-III,Q58401306,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:121
NA-35,Khyber Pakhtunkhwa,NA-35 Bannu,Q58401797,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:35
NA-152,Punjab,NA-152 Khanewal-III,Q58400819,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:152
NA-199,Sindh,NA-199 Shikarpur-II,Q58401482,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:199
NA-29,Khyber Pakhtunkhwa,NA-29 Peshawar-III,Q58400851,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:29
NA-186,Punjab,NA-186 Muzafargarh-VI,Q58401443,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:186
NA-235,Sindh,NA-235 Dadu-II,Q58401598,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:235
NA-104,Punjab,NA-104 Faisalabad-IV,Q58401251,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:104
NA-80,Punjab,NA-80 Gujranwala-II,Q58401161,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:80
NA-249,Sindh,NA-249 West Karachi-II,Q58401634,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:249
NA-37,Khyber Pakhtunkhwa,NA-37 (Tank),Q55624424,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:37
NA-77,Punjab,NA-77 Narowal-I,Q58401153,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:77
NA-157,Punjab,NA-157 Multan-IV,Q58400826,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:157
NA-268,Balochistan,NA-268 Chaghi-cum-Noshki-cum-Kharan,Q58401689,country:pk/province:ba,country:pk/province:ba/national-assembly-constituency:268
NA-233,Sindh,NA-233 Jamshoro,Q58401594,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:233
NA-179,Punjab,NA-179 RYK-V,Q58401433,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:179
NA-40,Federally Administered Tribal Areas,NA 40 Bajaur-I,Q58401814,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:40
NA-31,Khyber Pakhtunkhwa,NA-31 (Peshawar-V),Q58400853,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:31
NA-147,Punjab,NA-147 Sahiwal-I,Q58401345,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:147
NA-113,Punjab,NA-113 Toba Tek Singh-III,Q58401279,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:113
NA-161,Punjab,NA-161 Lodhran-II,Q58401379,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:161
NA-75,Punjab,NA-75 Sialkot-IV,Q58401149,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:75
NA-261,Balochistan,NA-261 (Jafarabad-cum-Sohbatpur),Q55624402,country:pk/province:ba,country:pk/province:ba/national-assembly-constituency:261
NA-265,Balochistan,NA-265 Quetta-II,Q58401684,country:pk/province:ba,country:pk/province:ba/national-assembly-constituency:265
NA-227,Sindh,NA-227 Hyderabad-III,Q58401568,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:227
NA-149,Punjab,NA-149 Sahiwal-III,Q58401349,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:149
NA-79,Punjab,NA-79 Gujranwala-I,Q58401158,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:79
NA-122,Punjab,NA-122 Sheikhupura-IV,Q58401308,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:122
NA-36,Khyber Pakhtunkhwa,NA-36 Lucky Marwat,Q58401806,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:36
NA-7,Khyber Pakhtunkhwa,NA-7 Lowe Dir-II,Q58401717,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:7
NA-69,Punjab,NA-69 Gujrat-II,Q58401122,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:69
NA-64,Punjab,NA-64 Chakwal-I,Q58401099,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:64
NA-244,Sindh,NA-244 East Karachi-III,Q58401625,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:244
NA-245,Sindh,NA-245 (Karachi East-IV),Q55641184,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:245
NA-201,Sindh,NA-201 (Larkana-II),Q55624389,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:201
NA-165,Punjab,NA-165 Vehari-IV,Q58401393,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:165
NA-203,Sindh,NA-203 Kambar Shahdadkot-II,Q58401488,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:203
NA-191,Punjab,NA-191 DG Khan-III,Q58401465,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:191
NA-178,Punjab,NA-178 RYK-IV,Q58401430,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:178
NA-95,Punjab,NA-95 Mianwali-I,Q58401215,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:95
NA-9,Khyber Pakhtunkhwa,NA-9 Buner,Q58401722,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:9
NA-4,Khyber Pakhtunkhwa,NA-4 (Swat-III),Q55624426,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:4
NA-190,Punjab,NA-190 DG Khan-II,Q58401462,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:190
NA-38,Khyber Pakhtunkhwa,NA-38 DI Khan-I,Q58401808,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:38
NA-30,Khyber Pakhtunkhwa,NA-30 Peshawar-IV,Q58401787,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:30
NA-181,Punjab,NA-181 (Muzaffargarh-I),Q55624376,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:181
NA-189,Punjab,NA-189 DG Khan-I,Q58401459,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:189
NA-163,Punjab,NA-163 Vehari-II,Q58401384,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:163
NA-81,Punjab,NA-81 Gujranwala-III,Q58401164,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:81
NA-224,Sindh,NA-224 Tando Alahyar,Q58401561,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:224
NA-26,Khyber Pakhtunkhwa,NA-26 Nowshehra-II,Q58401781,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:26
NA-212,Sindh,NA-212 Naushahro Feroz-II,Q58401521,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:212
NA-12,Khyber Pakhtunkhwa,NA-12 Batgram,Q58401731,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:12
NA-53,Islamabad Capital Territory,NA 53 Islamabad-II,Q58401855,country:pk/federal-territory:is,country:pk/federal-territory:is/national-assembly-constituency:53
NA-207,Sindh,NA-207 Sukher-II,Q58401498,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:207
NA-183,Punjab,NA-183 (Muzaffargarh-III),Q55624381,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:183
NA-264,Balochistan,NA-264 (Quetta-I),Q55624405,country:pk/province:ba,country:pk/province:ba/national-assembly-constituency:264
NA-92,Punjab,NA-92 Sargodha-V,Q58401198,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:92
NA-21,Khyber Pakhtunkhwa,NA-21 Mardan-II,Q58401762,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:21
NA-67,Punjab,NA-67 Jhelum-II,Q58401117,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:67
NA-270,Balochistan,NA-270 Panjgorh-cum-Washuk-cum-Awaran,Q58401694,country:pk/province:ba,country:pk/province:ba/national-assembly-constituency:270
NA-257,Balochistan,NA-257 Kila Saifullah-cum-zhob-cum-Sherani,Q58401661,country:pk/province:ba,country:pk/province:ba/national-assembly-constituency:257
NA-120,Punjab,NA-120 Sheikhupura-II,Q58401304,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:120
NA-5,Khyber Pakhtunkhwa,NA-5 Upper Dir,Q58401702,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:5
NA-123,Punjab,NA-123 Lahore-I,Q58401311,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:123
NA-148,Punjab,NA-148 Sahiwal-II,Q58401348,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:148
NA-221,Sindh,NA-221 Tharparkar-I,Q58401552,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:221
NA-254,Sindh,NA-254 Central Karachi-II,Q58401653,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:254
NA-202,Sindh,NA-202 Kambar Shahdadkot-I,Q58401484,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:202
NA-6,Khyber Pakhtunkhwa,NA-6 Lower Dir-I,Q58401706,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:6
NA-259,Balochistan,NA-259 Dera Bhugti-cum-Kohlu-cum-Barkhan-cum-Sibi-cum-Lehri,Q58401667,country:pk/province:ba,country:pk/province:ba/national-assembly-constituency:259
NA-143,Punjab,NA-143 (Okara-III),Q55624367,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:143
NA-253,Sindh,NA-253 Central Karachi-I,Q58401651,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:253
NA-33,Khyber Pakhtunkhwa,NA-33 Hangu,Q58401792,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:33
NA-142,Punjab,NA-142 (Okara-II),Q55624365,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:142
NA-169,Punjab,NA-169 Bahawalnagar-IV,Q58401405,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:169
NA-251,Sindh,NA-251 West Karachi-IV,Q58401640,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:251
NA-228,Sindh,NA-228 Tando Muhammad Khan,Q58401571,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:228
NA-216,Sindh,NA-216 Sangarh-II,Q58401525,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:216
NA-205,Sindh,NA-205 Ghotki-II,Q58401494,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:205
NA-213,Sindh,NA-213 Shaheed Benazirabad-I,Q58400833,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:213
NA-206,Sindh,NA-206 Sukher-I,Q58401497,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:206
NA-41,Federally Administered Tribal Areas,NA 41 Bajaur-II,Q58401818,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:41
NA-215,Sindh,NA-215 Sangarh-I,Q58401523,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:215
NA-34,Khyber Pakhtunkhwa,[[NA-34 Karak,Q58401793,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:34
NA-44,Federally Administered Tribal Areas,NA 44 Khyber-II,Q58401824,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:44
NA-267,Balochistan,NA-267 Mastung-cum-Shahhed Sikandarabad-cum-Kalat,Q58401686,country:pk/province:ba,country:pk/province:ba/national-assembly-constituency:267
NA-88,Punjab,NA-88 Sargodha-I,Q58401188,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:88
NA-55,Punjab,NA-55 Attock-I,Q58401083,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:55
NA-90,Punjab,NA-90 Sargodha-III,Q58401194,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:90
NA-208,Sindh,NA-208 Khairpur-I,Q58401503,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:208
NA-229,Sindh,NA-229 Badin-I,Q58401574,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:229
NA-172,Punjab,NA-172 Bahawalpur-III,Q58400829,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:172
NA-49,Federally Administered Tribal Areas,NA 49 South Wazirastan-I,Q58401846,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:49
NA-10,Khyber Pakhtunkhwa,NA-10 Shangla,Q58401726,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:10
NA-17,Khyber Pakhtunkhwa,NA-17 Haripur,Q58401750,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:17
NA-164,Punjab,NA-164 Vehari-III,Q58401385,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:164
NA-2,Khyber Pakhtunkhwa,NA-2 Swat-I,Q58401699,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:2
NA-266,Balochistan,NA-266 (Quetta-III),Q55624406,country:pk/province:ba,country:pk/province:ba/national-assembly-constituency:266
NA-110,Punjab,NA-110 Faisalabad-X,Q58401264,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:110
NA-76,Punjab,NA-76 Sialkot-V,Q58401152,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:76
NA-137,Punjab,NA-137 Kasur-I,Q58401337,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:137
NA-184,Punjab,NA-184 Muzaffargarh-IV,Q58401439,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:184
NA-43,Federally Administered Tribal Areas,NA 43 Khyber-I,Q58401821,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:43
NA-246,Sindh,NA-246 South Karachi-I,Q58401627,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:246
NA-106,Punjab,NA-106 Faisalabad-VI,Q58401255,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:106
NA-54,Islamabad Capital Territory,NA 54 Islamabad-III,Q58401858,country:pk/federal-territory:is,country:pk/federal-territory:is/national-assembly-constituency:54
NA-70,Punjab,NA-70 Gujrat-III,Q58401123,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:70
NA-50,Federally Administered Tribal Areas,NA 50 South Wazirastan-II,Q58401850,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:50
NA-171,Punjab,NA-171 Bahawalpur-II,Q58401408,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:171
