NAME_EN,WIKIDATA,MS_FB_PARE,MS_FB
GBLA-1 Gilgit-1,Q59207192,country:pk/administrative-territory:gb,country:pk/administrative-territory:gb/provincial-constituency:GBLA-1
GBLA-2 Gilgit-II,Q59207193,country:pk/administrative-territory:gb,country:pk/administrative-territory:gb/provincial-constituency:GBLA-2
GBLA-3 Gilgit-III,Q59207195,country:pk/administrative-territory:gb,country:pk/administrative-territory:gb/provincial-constituency:GBLA-3
GBLA-4 Nagir-I,Q59207196,country:pk/administrative-territory:gb,country:pk/administrative-territory:gb/provincial-constituency:GBLA-4
GBLA-5 Nagir-II,Q59207200,country:pk/administrative-territory:gb,country:pk/administrative-territory:gb/provincial-constituency:GBLA-5
GBLA-6 Nagir-III,Q59207201,country:pk/administrative-territory:gb,country:pk/administrative-territory:gb/provincial-constituency:GBLA-6
GBLA-7 Skardu-I,Q59207203,country:pk/administrative-territory:gb,country:pk/administrative-territory:gb/provincial-constituency:GBLA-7
GBLA-8 Skardu-II,Q59207204,country:pk/administrative-territory:gb,country:pk/administrative-territory:gb/provincial-constituency:GBLA-8
GBLA-9 Skardu-III,Q59207205,country:pk/administrative-territory:gb,country:pk/administrative-territory:gb/provincial-constituency:GBLA-9
GBLA-10 Skardu-IV,Q59207206,country:pk/administrative-territory:gb,country:pk/administrative-territory:gb/provincial-constituency:GBLA-10
GBLA-11 Skardu-V,Q59207207,country:pk/administrative-territory:gb,country:pk/administrative-territory:gb/provincial-constituency:GBLA-11
GBLA-12 Skardu-VI,Q59207209,country:pk/administrative-territory:gb,country:pk/administrative-territory:gb/provincial-constituency:GBLA-12
GBLA-13 Astore-I,Q59207210,country:pk/administrative-territory:gb,country:pk/administrative-territory:gb/provincial-constituency:GBLA-13
GBLA-14 Astore-II,Q59207212,country:pk/administrative-territory:gb,country:pk/administrative-territory:gb/provincial-constituency:GBLA-14
GBLA-15 Diamer-I,Q59207214,country:pk/administrative-territory:gb,country:pk/administrative-territory:gb/provincial-constituency:GBLA-15
GBLA-16 Diamer-II,Q59207216,country:pk/administrative-territory:gb,country:pk/administrative-territory:gb/provincial-constituency:GBLA-16
GBLA-17 Diamer-III,Q59207217,country:pk/administrative-territory:gb,country:pk/administrative-territory:gb/provincial-constituency:GBLA-17
GBLA-18 Diamer-IV,Q59207218,country:pk/administrative-territory:gb,country:pk/administrative-territory:gb/provincial-constituency:GBLA-18
GBLA-19 Ghizer-I,Q59207219,country:pk/administrative-territory:gb,country:pk/administrative-territory:gb/provincial-constituency:GBLA-19
GBLA-20 Ghizer-II,Q59207220,country:pk/administrative-territory:gb,country:pk/administrative-territory:gb/provincial-constituency:GBLA-20
GBLA-21 Ghizer-III,Q59207222,country:pk/administrative-territory:gb,country:pk/administrative-territory:gb/provincial-constituency:GBLA-21
GBLA-22 Ghanche-I,Q59207223,country:pk/administrative-territory:gb,country:pk/administrative-territory:gb/provincial-constituency:GBLA-22
GBLA-23 Ghanche-II,Q59207226,country:pk/administrative-territory:gb,country:pk/administrative-territory:gb/provincial-constituency:GBLA-23
GBLA-24 Ghanche-III,Q59207227,country:pk/administrative-territory:gb,country:pk/administrative-territory:gb/provincial-constituency:GBLA-24
LA-1 Dadyal,Q59207134,country:pk/administrative-territory:jk,country:pk/administrative-territory:jk/provincial-constituency:LA-1
LA-2 Chakswari/Islamgarh,Q59207135,country:pk/administrative-territory:jk,country:pk/administrative-territory:jk/provincial-constituency:LA-2
LA-3 Mirpur City,Q59207137,country:pk/administrative-territory:jk,country:pk/administrative-territory:jk/provincial-constituency:LA-3
LA-4 Khari Sharif,Q59207138,country:pk/administrative-territory:jk,country:pk/administrative-territory:jk/provincial-constituency:LA-4
LA-5 Barnala,Q59207139,country:pk/administrative-territory:jk,country:pk/administrative-territory:jk/provincial-constituency:LA-5
LA-6 Samahni,Q59207140,country:pk/administrative-territory:jk,country:pk/administrative-territory:jk/provincial-constituency:LA-6
LA-7 Bhimber City,Q59207141,country:pk/administrative-territory:jk,country:pk/administrative-territory:jk/provincial-constituency:LA-7
LA-8 Kotli City,Q59207142,country:pk/administrative-territory:jk,country:pk/administrative-territory:jk/provincial-constituency:LA-8
LA-9 Nakyal Dist Kotli,Q59207143,country:pk/administrative-territory:jk,country:pk/administrative-territory:jk/provincial-constituency:LA-9
LA-10 Sehnsa,Q59207147,country:pk/administrative-territory:jk,country:pk/administrative-territory:jk/provincial-constituency:LA-10
LA-11 Charhoi,Q59207148,country:pk/administrative-territory:jk,country:pk/administrative-territory:jk/provincial-constituency:LA-11
LA-12 Khoiratta,Q59207149,country:pk/administrative-territory:jk,country:pk/administrative-territory:jk/provincial-constituency:LA-12
LA-13 Dheerkot,Q59207150,country:pk/administrative-territory:jk,country:pk/administrative-territory:jk/provincial-constituency:LA-13
LA-14 Wasti Bagh,Q59207151,country:pk/administrative-territory:jk,country:pk/administrative-territory:jk/provincial-constituency:LA-14
LA-15 Sharqi Bagh,Q59207152,country:pk/administrative-territory:jk,country:pk/administrative-territory:jk/provincial-constituency:LA-15
LA-16 Forward Kahuta Haveli,Q59207153,country:pk/administrative-territory:jk,country:pk/administrative-territory:jk/provincial-constituency:LA-16
LA-17 Abbas Pur,Q59207154,country:pk/administrative-territory:jk,country:pk/administrative-territory:jk/provincial-constituency:LA-17
LA-18 Hajeera,Q59207155,country:pk/administrative-territory:jk,country:pk/administrative-territory:jk/provincial-constituency:LA-18
LA-19 Rawlakot,Q59207159,country:pk/administrative-territory:jk,country:pk/administrative-territory:jk/provincial-constituency:LA-19
LA-20 Thorar,Q59207160,country:pk/administrative-territory:jk,country:pk/administrative-territory:jk/provincial-constituency:LA-20
LA-21 Palandri Sudhnoti,Q59207161,country:pk/administrative-territory:jk,country:pk/administrative-territory:jk/provincial-constituency:LA-21
LA-22 Baloch Sadhnoti,Q59207162,country:pk/administrative-territory:jk,country:pk/administrative-territory:jk/provincial-constituency:LA-22
LA-23 Athmuqam Neelum,Q59207163,country:pk/administrative-territory:jk,country:pk/administrative-territory:jk/provincial-constituency:LA-23
LA-24 Pateeka,Q59207166,country:pk/administrative-territory:jk,country:pk/administrative-territory:jk/provincial-constituency:LA-24
LA-25 Lachrat,Q59207167,country:pk/administrative-territory:jk,country:pk/administrative-territory:jk/provincial-constituency:LA-25
LA-26 Muzaffarabad City,Q59207168,country:pk/administrative-territory:jk,country:pk/administrative-territory:jk/provincial-constituency:LA-26
