NAME_EN,WIKIDATA,MS_FB_PARE,MS_FB
LA-27 Khawra,Q59207169,country:pk/administrative-territory:jk,country:pk/administrative-territory:jk/provincial-constituency:LA-27
LA-28 Chukar Hattian Bala,Q59207173,country:pk/administrative-territory:jk,country:pk/administrative-territory:jk/provincial-constituency:LA-28
LA-29 Leepa,Q59207174,country:pk/administrative-territory:jk,country:pk/administrative-territory:jk/provincial-constituency:LA-29
LA-30 Jammu-1 Karachi/Punjab,Q59207176,country:pk/administrative-territory:jk,country:pk/administrative-territory:jk/provincial-constituency:LA-30
LA-31 Jammu-2 Gujranwala/Hafizabad,Q59207178,country:pk/administrative-territory:jk,country:pk/administrative-territory:jk/provincial-constituency:LA-31
LA-32 Jammu-3 Sialkot,Q59207179,country:pk/administrative-territory:jk,country:pk/administrative-territory:jk/provincial-constituency:LA-32
LA-33 Jammu-4 Narowal,Q59207180,country:pk/administrative-territory:jk,country:pk/administrative-territory:jk/provincial-constituency:LA-33
LA-34 Jammu-5 Gujrat/M.B.Din/Wazirabad,Q59207181,country:pk/administrative-territory:jk,country:pk/administrative-territory:jk/provincial-constituency:LA-34
LA-35 Jammu-6 Rawalpindi,Q59207182,country:pk/administrative-territory:jk,country:pk/administrative-territory:jk/provincial-constituency:LA-35
LA-36 Valley-1 Karachi,Q59207183,country:pk/administrative-territory:jk,country:pk/administrative-territory:jk/provincial-constituency:LA-36
LA-37 Valley-2 Lahore,Q59207187,country:pk/administrative-territory:jk,country:pk/administrative-territory:jk/provincial-constituency:LA-37
LA-38 Valley-3 Jhelum/Multan,Q59207188,country:pk/administrative-territory:jk,country:pk/administrative-territory:jk/provincial-constituency:LA-38
LA-39 Valley-4 Rawalpindi,Q59207189,country:pk/administrative-territory:jk,country:pk/administrative-territory:jk/provincial-constituency:LA-39
LA-40 Valley-5 Rawalpindi/Islamabad/Murree,Q59207190,country:pk/administrative-territory:jk,country:pk/administrative-territory:jk/provincial-constituency:LA-40
LA-41 Valley-6 Peshawar/Mansehra (KPK),Q59207191,country:pk/administrative-territory:jk,country:pk/administrative-territory:jk/provincial-constituency:LA-41
