ID,PROVINCE,NAME_EN,WIKIDATA,MS_FB,MS_FB_PARE
PP-2,Punjab,PP-2 Attock-II,Q59207303,country:pk/province:pb/provincial-constituency:pp-2,country:pk/province:pb
PP-1,Punjab,PP-1 Attock-I,Q59207301,country:pk/province:pb/provincial-constituency:pp-1,country:pk/province:pb
PP-5,Punjab,PP-5 Attock-V,Q59207306,country:pk/province:pb/provincial-constituency:pp-5,country:pk/province:pb
PP-4,Punjab,PP-4 Attock-IV,Q59207305,country:pk/province:pb/provincial-constituency:pp-4,country:pk/province:pb
PP-3,Punjab,PP-3 Attock-III,Q59207304,country:pk/province:pb/provincial-constituency:pp-3,country:pk/province:pb
PP-24,Punjab,PP-24 Chakwal-IV,Q59207329,country:pk/province:pb/provincial-constituency:pp-24,country:pk/province:pb
PP-23,Punjab,PP-23 Chakwal-III,Q59207328,country:pk/province:pb/provincial-constituency:pp-23,country:pk/province:pb
PP-21,Punjab,PP-21 Chakwal-I,Q59207326,country:pk/province:pb/provincial-constituency:pp-21,country:pk/province:pb
PP-22,Punjab,PP-22 Chakwal-II,Q59207327,country:pk/province:pb/provincial-constituency:pp-22,country:pk/province:pb
PP-25,Punjab,PP-25 Jhelum-I,Q59207330,country:pk/province:pb/provincial-constituency:pp-25,country:pk/province:pb
PP-26,Punjab,PP-26 Jhelum-II,Q59207331,country:pk/province:pb/provincial-constituency:pp-26,country:pk/province:pb
PP-27,Punjab,PP-27 Jhelum-III,Q59207332,country:pk/province:pb/provincial-constituency:pp-27,country:pk/province:pb
PP-83,Punjab,PP-83 Khushab-II,Q59207400,country:pk/province:pb/provincial-constituency:pp-83,country:pk/province:pb
PP-84,Punjab,PP-84 Khushab-III,Q59207401,country:pk/province:pb/provincial-constituency:pp-84,country:pk/province:pb
PP-34,Punjab,PP-34 Gujrat-VII,Q59207339,country:pk/province:pb/provincial-constituency:pp-34,country:pk/province:pb
PP-33,Punjab,PP-33 Gujrat-VI,Q59207338,country:pk/province:pb/provincial-constituency:pp-33,country:pk/province:pb
PP-30,Punjab,PP-30 Gujrat-III,Q59207335,country:pk/province:pb/provincial-constituency:pp-30,country:pk/province:pb
PP-31,Punjab,PP-31 Gujrat-IV,Q59207336,country:pk/province:pb/provincial-constituency:pp-31,country:pk/province:pb
PP-29,Punjab,PP-29 Gujrat-II,Q59207334,country:pk/province:pb/provincial-constituency:pp-29,country:pk/province:pb
PP-28,Punjab,PP-28 Gujrat-I,Q59207333,country:pk/province:pb/provincial-constituency:pp-28,country:pk/province:pb
PP-82,Punjab,PP-82 Khushab-I,Q59207398,country:pk/province:pb/provincial-constituency:pp-82,country:pk/province:pb
PP-32,Punjab,PP-32 Gujrat-V,Q59207337,country:pk/province:pb/provincial-constituency:pp-32,country:pk/province:pb
PP-86,Punjab,PP-86 Mianwali-II,Q59207403,country:pk/province:pb/provincial-constituency:pp-86,country:pk/province:pb
PP-85,Punjab,PP-85 Mianwali-I,Q59207402,country:pk/province:pb/provincial-constituency:pp-85,country:pk/province:pb
PP-87,Punjab,PP-87 Mianwali-III,Q59207404,country:pk/province:pb/provincial-constituency:pp-87,country:pk/province:pb
PP-88,Punjab,PP-88 Mianwali-IV,Q59207405,country:pk/province:pb/provincial-constituency:pp-88,country:pk/province:pb
PP-65,Punjab,PP-65 MandiBahauddin-I,Q59207379,country:pk/province:pb/provincial-constituency:pp-65,country:pk/province:pb
PP-66,Punjab,PP-66 MandiBahauddin-II,Q59207380,country:pk/province:pb/provincial-constituency:pp-66,country:pk/province:pb
PP-67,Punjab,PP-67 MandiBahauddin-III,Q59207381,country:pk/province:pb/provincial-constituency:pp-67,country:pk/province:pb
PP-68,Punjab,PP-68 MandiBahauddin-IV,Q59207382,country:pk/province:pb/provincial-constituency:pp-68,country:pk/province:pb
PP-89,Punjab,PP-89 Bhakkar-I,Q59207406,country:pk/province:pb/provincial-constituency:pp-89,country:pk/province:pb
PP-91,Punjab,PP-91 Bhakkar-III,Q59207408,country:pk/province:pb/provincial-constituency:pp-91,country:pk/province:pb
PP-92,Punjab,PP-92 Bhakkar-IV,Q59207409,country:pk/province:pb/provincial-constituency:pp-92,country:pk/province:pb
PP-90,Punjab,PP-90 Bhakkar-II,Q59207407,country:pk/province:pb/provincial-constituency:pp-90,country:pk/province:pb
PP-74,Punjab,PP-74 Sargodha-III,Q59207390,country:pk/province:pb/provincial-constituency:pp-74,country:pk/province:pb
PP-72,Punjab,PP-72 Sargodha-I,Q59207386,country:pk/province:pb/provincial-constituency:pp-72,country:pk/province:pb
PP-73,Punjab,PP-73 Sargodha-II,Q59207387,country:pk/province:pb/provincial-constituency:pp-73,country:pk/province:pb
PP-81,Punjab,PP-81 Sargodha-X,Q59207397,country:pk/province:pb/provincial-constituency:pp-81,country:pk/province:pb
PP-80,Punjab,PP-80 Sargodha-VIX,Q59207396,country:pk/province:pb/provincial-constituency:pp-80,country:pk/province:pb
PP-75,Punjab,PP-75 Sargodha-IV,Q59207391,country:pk/province:pb/provincial-constituency:pp-75,country:pk/province:pb
PP-76,Punjab,PP-76 Sargodha-V,Q59207392,country:pk/province:pb/provincial-constituency:pp-76,country:pk/province:pb
PP-79,Punjab,PP-79 Sargodha-VIII,Q59207395,country:pk/province:pb/provincial-constituency:pp-79,country:pk/province:pb
PP-78,Punjab,PP-78 Sargodha-VII,Q59207394,country:pk/province:pb/provincial-constituency:pp-78,country:pk/province:pb
PP-77,Punjab,PP-77 Sargodha-VI,Q59207393,country:pk/province:pb/provincial-constituency:pp-77,country:pk/province:pb
PP-282,Punjab,PP-282 Layyah-III,Q59207653,country:pk/province:pb/provincial-constituency:pp-282,country:pk/province:pb
PP-280,Punjab,PP-280 Layyah-I,Q59207650,country:pk/province:pb/provincial-constituency:pp-280,country:pk/province:pb
PP-281,Punjab,PP-281 Layyah-II,Q59207652,country:pk/province:pb/provincial-constituency:pp-281,country:pk/province:pb
PP-284,Punjab,PP-284 Layyah-V,Q59207655,country:pk/province:pb/provincial-constituency:pp-284,country:pk/province:pb
PP-283,Punjab,PP-283 Layyah-IV,Q59207654,country:pk/province:pb/provincial-constituency:pp-283,country:pk/province:pb
PP-268,Punjab,PP-268 Muzaffargarh-I,Q59207635,country:pk/province:pb/provincial-constituency:pp-268,country:pk/province:pb
PP-279,Punjab,PP-279 Muzaffargarh-XII,Q59207649,country:pk/province:pb/provincial-constituency:pp-279,country:pk/province:pb
PP-278,Punjab,PP-278 Muzaffargarh-XI,Q59207648,country:pk/province:pb/provincial-constituency:pp-278,country:pk/province:pb
PP-277,Punjab,PP-277 Muzaffargarh-X,Q59207647,country:pk/province:pb/provincial-constituency:pp-277,country:pk/province:pb
PP-276,Punjab,PP-276 Muzaffargarh-IX,Q59207646,country:pk/province:pb/provincial-constituency:pp-276,country:pk/province:pb
PP-275,Punjab,PP-275 Muzaffargarh-VIII,Q59207645,country:pk/province:pb/provincial-constituency:pp-275,country:pk/province:pb
PP-274,Punjab,PP-274 Muzaffargarh-VII,Q59207643,country:pk/province:pb/provincial-constituency:pp-274,country:pk/province:pb
PP-285,Punjab,PP-285 Dera Ghazi Khan-I,Q59207656,country:pk/province:pb/provincial-constituency:pp-285,country:pk/province:pb
PP-286,Punjab,PP-286 Dera Ghazi Khan-II,Q56173967,country:pk/province:pb/provincial-constituency:pp-286,country:pk/province:pb
PP-287,Punjab,PP-287 Dera Ghazi Khan-III,Q59207657,country:pk/province:pb/provincial-constituency:pp-287,country:pk/province:pb
PP-289,Punjab,PP-289 Dera Ghazi Khan-V,Q59207659,country:pk/province:pb/provincial-constituency:pp-289,country:pk/province:pb
PP-290,Punjab,PP-290 Dera Ghazi Khan-VI,Q59207660,country:pk/province:pb/provincial-constituency:pp-290,country:pk/province:pb
PP-288,Punjab,PP-288 Dera Ghazi Khan-IV,Q59207658,country:pk/province:pb/provincial-constituency:pp-288,country:pk/province:pb
PP-291,Punjab,PP-291 Dera Ghazi Khan-VII,Q59207663,country:pk/province:pb/provincial-constituency:pp-291,country:pk/province:pb
PP-292,Punjab,PP-292 Dera Ghazi Khan-VIII,Q59207664,country:pk/province:pb/provincial-constituency:pp-292,country:pk/province:pb
PP-293,Punjab,PP-293 Rajan Pur-I,Q59207665,country:pk/province:pb/provincial-constituency:pp-293,country:pk/province:pb
PP-294,Punjab,PP-294 Rajan Pur-II,Q59207666,country:pk/province:pb/provincial-constituency:pp-294,country:pk/province:pb
PP-295,Punjab,PP-295 Rajan Pur-III,Q59207667,country:pk/province:pb/provincial-constituency:pp-295,country:pk/province:pb
PP-296,Punjab,PP-296 Rajan Pur-IV,Q59207669,country:pk/province:pb/provincial-constituency:pp-296,country:pk/province:pb
PP-297,Punjab,PP-297 Rajan Pur-V,Q59207670,country:pk/province:pb/provincial-constituency:pp-297,country:pk/province:pb
PP-256,Punjab,PP-256 Rahim Yar Khan-II,Q59207622,country:pk/province:pb/provincial-constituency:pp-256,country:pk/province:pb
PP-259,Punjab,PP-259 Rahim Yar Khan-V,Q59207625,country:pk/province:pb/provincial-constituency:pp-259,country:pk/province:pb
PP-258,Punjab,PP-258 Rahim Yar Khan-IV,Q59207624,country:pk/province:pb/provincial-constituency:pp-258,country:pk/province:pb
PP-260,Punjab,PP-260 Rahim Yar Khan-VI,Q59207626,country:pk/province:pb/provincial-constituency:pp-260,country:pk/province:pb
PP-265,Punjab,PP-265 Rahim Yar Khan-XI,Q59207632,country:pk/province:pb/provincial-constituency:pp-265,country:pk/province:pb
PP-264,Punjab,PP-264 Rahim Yar Khan-X,Q59207631,country:pk/province:pb/provincial-constituency:pp-264,country:pk/province:pb
PP-267,Punjab,PP-267 Rahim Yar Khan-XIII,Q59207634,country:pk/province:pb/provincial-constituency:pp-267,country:pk/province:pb
PP-261,Punjab,PP-261 Rahim Yar Khan-VII,Q59207627,country:pk/province:pb/provincial-constituency:pp-261,country:pk/province:pb
PP-262,Punjab,PP-262 Rahim Yar Khan-VIII,Q59207628,country:pk/province:pb/provincial-constituency:pp-262,country:pk/province:pb
PP-263,Punjab,PP-263 Rahim Yar Khan-IX,Q59207630,country:pk/province:pb/provincial-constituency:pp-263,country:pk/province:pb
PP-266,Punjab,PP-266 Rahim Yar Khan-XII,Q59207633,country:pk/province:pb/provincial-constituency:pp-266,country:pk/province:pb
PP-257,Punjab,PP-257 Rahim Yar Khan-III,Q59207623,country:pk/province:pb/provincial-constituency:pp-257,country:pk/province:pb
PP-250,Punjab,PP-250 Bahawalpur-VI,Q59207613,country:pk/province:pb/provincial-constituency:pp-250,country:pk/province:pb
PP-248,Punjab,PP-248 Bahawalpur-IV,Q59207610,country:pk/province:pb/provincial-constituency:pp-248,country:pk/province:pb
PP-247,Punjab,PP-247 Bahawalpur-III,Q59207608,country:pk/province:pb/provincial-constituency:pp-247,country:pk/province:pb
PP-253,Punjab,PP-253 Bahawalpur-IX,Q59207616,country:pk/province:pb/provincial-constituency:pp-253,country:pk/province:pb
PP-249,Punjab,PP-249 Bahawalpur-V,Q59207612,country:pk/province:pb/provincial-constituency:pp-249,country:pk/province:pb
PP-246,Punjab,PP-246 Bahawalpur-II,Q59207607,country:pk/province:pb/provincial-constituency:pp-246,country:pk/province:pb
PP-251,Punjab,PP-251 Bahawalpur-VII,Q59207614,country:pk/province:pb/provincial-constituency:pp-251,country:pk/province:pb
PP-252,Punjab,PP-252 Bahawalpur-VIII,Q59207615,country:pk/province:pb/provincial-constituency:pp-252,country:pk/province:pb
PP-245,Punjab,PP-245 Bahawalpur-I,Q59207606,country:pk/province:pb/provincial-constituency:pp-245,country:pk/province:pb
PP-273,Punjab,PP-273 Muzaffargarh-VI,Q59207642,country:pk/province:pb/provincial-constituency:pp-273,country:pk/province:pb
PP-272,Punjab,PP-272 Muzaffargarh-V,Q59207641,country:pk/province:pb/provincial-constituency:pp-272,country:pk/province:pb
PP-271,Punjab,PP-271 Muzaffargarh-IV,Q59207638,country:pk/province:pb/provincial-constituency:pp-271,country:pk/province:pb
PP-270,Punjab,PP-270 Muzaffargarh-III,Q59207637,country:pk/province:pb/provincial-constituency:pp-270,country:pk/province:pb
PP-269,Punjab,PP-269 Muzaffargarh-II,Q59207636,country:pk/province:pb/provincial-constituency:pp-269,country:pk/province:pb
PP-255,Punjab,PP-255 Rahim Yar Khan-I,Q59207621,country:pk/province:pb/provincial-constituency:pp-255,country:pk/province:pb
PP-254,Punjab,PP-254 Bahawalpur-X,Q59207620,country:pk/province:pb/provincial-constituency:pp-254,country:pk/province:pb
PP-244,Punjab,PP-244 Bahawalnagar-VIII,Q59207604,country:pk/province:pb/provincial-constituency:pp-244,country:pk/province:pb
PP-243,Punjab,PP-243 Bahawalnagar-VII,Q59207603,country:pk/province:pb/provincial-constituency:pp-243,country:pk/province:pb
PP-239,Punjab,PP-239 Bahawalnagar-III,Q59207599,country:pk/province:pb/provincial-constituency:pp-239,country:pk/province:pb
PP-242,Punjab,PP-242 Bahawalnagar-VI,Q59207602,country:pk/province:pb/provincial-constituency:pp-242,country:pk/province:pb
PP-241,Punjab,PP-241 Bahawalnagar-V,Q59207601,country:pk/province:pb/provincial-constituency:pp-241,country:pk/province:pb
PP-240,Punjab,PP-240 Bahawalnagar-IV,Q59207600,country:pk/province:pb/provincial-constituency:pp-240,country:pk/province:pb
PP-238,Punjab,PP-238 Bahawalnagar-II,Q59207598,country:pk/province:pb/provincial-constituency:pp-238,country:pk/province:pb
PP-237,Punjab,PP-237 Bahawalnagar-I,Q59207597,country:pk/province:pb/provincial-constituency:pp-237,country:pk/province:pb
PP-224,Punjab,PP-224 Lodhran-I,Q59207579,country:pk/province:pb/provincial-constituency:pp-224,country:pk/province:pb
PP-225,Punjab,PP-225 Lodhran-II,Q59207580,country:pk/province:pb/provincial-constituency:pp-225,country:pk/province:pb
PP-228,Punjab,PP-228 Lodhran-V,Q59207586,country:pk/province:pb/provincial-constituency:pp-228,country:pk/province:pb
PP-227,Punjab,PP-227 Lodhran-IV,Q59207585,country:pk/province:pb/provincial-constituency:pp-227,country:pk/province:pb
