ID,PROVINCE,NAME_EN,WIKIDATA,MS_FB,MS_FB_PARE
PP-226,Punjab,PP-226 Lodhran-III,Q59207582,country:pk/province:pb/provincial-constituency:pp-226,country:pk/province:pb
PP-236,Punjab,PP-236 Vehari-VIII,Q59207596,country:pk/province:pb/provincial-constituency:pp-236,country:pk/province:pb
PP-235,Punjab,PP-235 Vehari-VII,Q59207593,country:pk/province:pb/provincial-constituency:pp-235,country:pk/province:pb
PP-233,Punjab,PP-233 Vehari-V,Q59207591,country:pk/province:pb/provincial-constituency:pp-233,country:pk/province:pb
PP-234,Punjab,PP-234 Vehari-VI,Q59207592,country:pk/province:pb/provincial-constituency:pp-234,country:pk/province:pb
PP-232,Punjab,PP-232 Vehari-IV,Q59207590,country:pk/province:pb/provincial-constituency:pp-232,country:pk/province:pb
PP-230,Punjab,PP-230 Vehari-II,Q59207588,country:pk/province:pb/provincial-constituency:pp-230,country:pk/province:pb
PP-229,Punjab,PP-229 Vehari-I,Q59207587,country:pk/province:pb/provincial-constituency:pp-229,country:pk/province:pb
PP-231,Punjab,PP-231 Vehari-III,Q59207589,country:pk/province:pb/provincial-constituency:pp-231,country:pk/province:pb
PP-194,Punjab,PP-194 Pakpatan-IV,Q59207540,country:pk/province:pb/provincial-constituency:pp-194,country:pk/province:pb
PP-193,Punjab,PP-193 Pakpatan-III,Q59207539,country:pk/province:pb/provincial-constituency:pp-193,country:pk/province:pb
PP-191,Punjab,PP-191 Pakpatan-I,Q59207536,country:pk/province:pb/provincial-constituency:pp-191,country:pk/province:pb
PP-195,Punjab,PP-195 Pakpatan-V,Q59207541,country:pk/province:pb/provincial-constituency:pp-195,country:pk/province:pb
PP-192,Punjab,PP-192 Pakpatan-II,Q59207538,country:pk/province:pb/provincial-constituency:pp-192,country:pk/province:pb
PP-186,Punjab,PP-186 Okara-IV,Q59207527,country:pk/province:pb/provincial-constituency:pp-186,country:pk/province:pb
PP-185,Punjab,PP-185 Okara-III,Q59207526,country:pk/province:pb/provincial-constituency:pp-185,country:pk/province:pb
PP-184,Punjab,PP-184 Okara-II,Q59207524,country:pk/province:pb/provincial-constituency:pp-184,country:pk/province:pb
PP-183,Punjab,PP-183 Okara-I,Q59207523,country:pk/province:pb/provincial-constituency:pp-183,country:pk/province:pb
PP-187,Punjab,PP-187 Okara-V,Q59207528,country:pk/province:pb/provincial-constituency:pp-187,country:pk/province:pb
PP-189,Punjab,PP-189 Okara-VII,Q59207530,country:pk/province:pb/provincial-constituency:pp-189,country:pk/province:pb
PP-188,Punjab,PP-188 Okara-VI,Q59207529,country:pk/province:pb/provincial-constituency:pp-188,country:pk/province:pb
PP-190,Punjab,PP-190 Okara-VIII,Q59207531,country:pk/province:pb/provincial-constituency:pp-190,country:pk/province:pb
PP-177,Punjab,PP-177 Kasur-IV,Q59207517,country:pk/province:pb/provincial-constituency:pp-177,country:pk/province:pb
PP-178,Punjab,PP-178 Kasur-V,Q59207518,country:pk/province:pb/provincial-constituency:pp-178,country:pk/province:pb
PP-176,Punjab,PP-176 Kasur-III,Q59207516,country:pk/province:pb/provincial-constituency:pp-176,country:pk/province:pb
PP-175,Punjab,PP-175 Kasur-II,Q59207515,country:pk/province:pb/provincial-constituency:pp-175,country:pk/province:pb
PP-174,Punjab,PP-174 Kasur-I,Q59207514,country:pk/province:pb/provincial-constituency:pp-174,country:pk/province:pb
PP-182,Punjab,PP-182 Kasur-IX,Q59207522,country:pk/province:pb/provincial-constituency:pp-182,country:pk/province:pb
PP-181,Punjab,PP-181 Kasur-VIII,Q59207521,country:pk/province:pb/provincial-constituency:pp-181,country:pk/province:pb
PP-179,Punjab,PP-179 Kasur-VI,Q59207519,country:pk/province:pb/provincial-constituency:pp-179,country:pk/province:pb
PP-180,Punjab,PP-180 Kasur-VII,Q59207520,country:pk/province:pb/provincial-constituency:pp-180,country:pk/province:pb
PP-135,Punjab,PP-135 Sheikhupura-I,Q59207461,country:pk/province:pb/provincial-constituency:pp-135,country:pk/province:pb
PP-136,Punjab,PP-136 Sheikhupura-II,Q59207462,country:pk/province:pb/provincial-constituency:pp-136,country:pk/province:pb
PP-137,Punjab,PP-137 Sheikhupura-III,Q59207464,country:pk/province:pb/provincial-constituency:pp-137,country:pk/province:pb
PP-138,Punjab,PP-138 Sheikhupura-IV,Q59207465,country:pk/province:pb/provincial-constituency:pp-138,country:pk/province:pb
PP-140,Punjab,PP-140 Sheikhupura-VI,Q59207467,country:pk/province:pb/provincial-constituency:pp-140,country:pk/province:pb
PP-139,Punjab,PP-139 Sheikhupura-V,Q59207466,country:pk/province:pb/provincial-constituency:pp-139,country:pk/province:pb
PP-141,Punjab,PP-141 Sheikhupura-VII,Q59207468,country:pk/province:pb/provincial-constituency:pp-141,country:pk/province:pb
PP-143,Punjab,PP-143 Sheikhupura-VIX,Q59207470,country:pk/province:pb/provincial-constituency:pp-143,country:pk/province:pb
PP-142,Punjab,PP-142 Sheikhupura-VIII,Q59207469,country:pk/province:pb/provincial-constituency:pp-142,country:pk/province:pb
PP-131,Punjab,PP-131 Nankana Sahib-I,Q59207457,country:pk/province:pb/provincial-constituency:pp-131,country:pk/province:pb
PP-132,Punjab,PP-132 Nankana Sahib-II,Q59207458,country:pk/province:pb/provincial-constituency:pp-132,country:pk/province:pb
PP-133,Punjab,PP-133 Nankana Sahib-III,Q59207459,country:pk/province:pb/provincial-constituency:pp-133,country:pk/province:pb
PP-134,Punjab,PP-134 Nankana Sahib-IV,Q59207460,country:pk/province:pb/provincial-constituency:pp-134,country:pk/province:pb
PP-50,Punjab,PP-50 Narowal-V,Q59207362,country:pk/province:pb/provincial-constituency:pp-50,country:pk/province:pb
PP-49,Punjab,PP-49 Narowal-IV,Q59207361,country:pk/province:pb/provincial-constituency:pp-49,country:pk/province:pb
PP-46,Punjab,PP-46 Narowal-I,Q59207354,country:pk/province:pb/provincial-constituency:pp-46,country:pk/province:pb
PP-48,Punjab,PP-48 Narowal-III,Q59207360,country:pk/province:pb/provincial-constituency:pp-48,country:pk/province:pb
PP-47,Punjab,PP-47 Narowal-II,Q59207359,country:pk/province:pb/provincial-constituency:pp-47,country:pk/province:pb
PP-70,Punjab,PP-70 Hafizabad-II,Q59207384,country:pk/province:pb/provincial-constituency:pp-70,country:pk/province:pb
PP-69,Punjab,PP-69 Hafizabad-I,Q59207383,country:pk/province:pb/provincial-constituency:pp-69,country:pk/province:pb
PP-71,Punjab,PP-71 Hafizabad-III,Q59207385,country:pk/province:pb/provincial-constituency:pp-71,country:pk/province:pb
PP-35,Punjab,PP-35 Sialkot-I,Q59207340,country:pk/province:pb/provincial-constituency:pp-35,country:pk/province:pb
PP-38,Punjab,PP-38 Sialkot-IV,Q59207346,country:pk/province:pb/provincial-constituency:pp-38,country:pk/province:pb
PP-45,Punjab,PP-45 Sialkot-XI,Q59207353,country:pk/province:pb/provincial-constituency:pp-45,country:pk/province:pb
PP-36,Punjab,PP-36 Sialkot-II,Q59207341,country:pk/province:pb/provincial-constituency:pp-36,country:pk/province:pb
PP-37,Punjab,PP-37 Sialkot-III,Q59207342,country:pk/province:pb/provincial-constituency:pp-37,country:pk/province:pb
PP-44,Punjab,PP-44 Sialkot-X,Q59207352,country:pk/province:pb/provincial-constituency:pp-44,country:pk/province:pb
PP-43,Punjab,PP-43 Sialkot-IX,Q59207351,country:pk/province:pb/provincial-constituency:pp-43,country:pk/province:pb
PP-42,Punjab,PP-42 Sialkot-VIII,Q59207350,country:pk/province:pb/provincial-constituency:pp-42,country:pk/province:pb
PP-41,Punjab,PP-41 Sialkot-VII,Q59207349,country:pk/province:pb/provincial-constituency:pp-41,country:pk/province:pb
PP-40,Punjab,PP-40 Sialkot-VI,Q59207348,country:pk/province:pb/provincial-constituency:pp-40,country:pk/province:pb
PP-39,Punjab,PP-39 Sialkot-V,Q59207347,country:pk/province:pb/provincial-constituency:pp-39,country:pk/province:pb
PP-96,Punjab,PP-96 Chiniot-IV,Q59207413,country:pk/province:pb/provincial-constituency:pp-96,country:pk/province:pb
PP-93,Punjab,PP-93 Chiniot-I,Q59207410,country:pk/province:pb/provincial-constituency:pp-93,country:pk/province:pb
PP-94,Punjab,PP-94 Chiniot-II,Q59207411,country:pk/province:pb/provincial-constituency:pp-94,country:pk/province:pb
PP-95,Punjab,PP-95 Chiniot-III,Q59207412,country:pk/province:pb/provincial-constituency:pp-95,country:pk/province:pb
PP-124,Punjab,PP-124 Jhang-I,Q59207448,country:pk/province:pb/provincial-constituency:pp-124,country:pk/province:pb
PP-126,Punjab,PP-126 Jhang-III,Q59207450,country:pk/province:pb/provincial-constituency:pp-126,country:pk/province:pb
PP-127,Punjab,PP-127 Jhang-IV,Q59207451,country:pk/province:pb/provincial-constituency:pp-127,country:pk/province:pb
PP-125,Punjab,PP-125 Jhang-II,Q59207449,country:pk/province:pb/provincial-constituency:pp-125,country:pk/province:pb
PP-128,Punjab,PP-128 Jhang-V,Q59207454,country:pk/province:pb/provincial-constituency:pp-128,country:pk/province:pb
PP-130,Punjab,PP-130 Jhang-VII,Q59207456,country:pk/province:pb/provincial-constituency:pp-130,country:pk/province:pb
PP-129,Punjab,PP-129 Jhang-VI,Q59207455,country:pk/province:pb/provincial-constituency:pp-129,country:pk/province:pb
PP-118,Punjab,PP-118 Toba Tek Singh-I,Q59207438,country:pk/province:pb/provincial-constituency:pp-118,country:pk/province:pb
PP-119,Punjab,PP-119 Toba Tek Singh-II,Q59207440,country:pk/province:pb/provincial-constituency:pp-119,country:pk/province:pb
PP-121,Punjab,PP-121 Toba Tek Singh-IV,Q59207442,country:pk/province:pb/provincial-constituency:pp-121,country:pk/province:pb
PP-120,Punjab,PP-120 Toba Tek Singh-III,Q59207441,country:pk/province:pb/provincial-constituency:pp-120,country:pk/province:pb
PP-122,Punjab,PP-122 Toba Tek Singh-V,Q59207444,country:pk/province:pb/provincial-constituency:pp-122,country:pk/province:pb
PP-123,Punjab,PP-123 Toba Tek Singh-VI,Q59207447,country:pk/province:pb/provincial-constituency:pp-123,country:pk/province:pb
PP-196,Punjab,PP-196 Sahiwal-I,Q59207542,country:pk/province:pb/provincial-constituency:pp-196,country:pk/province:pb
PP-197,Punjab,PP-197 Sahiwal-II,Q59207543,country:pk/province:pb/provincial-constituency:pp-197,country:pk/province:pb
PP-198,Punjab,PP-198 Sahiwal-III,Q59207544,country:pk/province:pb/provincial-constituency:pp-198,country:pk/province:pb
PP-199,Punjab,PP-199 Sahiwal-IV,Q59207545,country:pk/province:pb/provincial-constituency:pp-199,country:pk/province:pb
PP-200,Punjab,PP-200 Sahiwal-V,Q59207548,country:pk/province:pb/provincial-constituency:pp-200,country:pk/province:pb
PP-202,Punjab,PP-202 Sahiwal-VII,Q59207550,country:pk/province:pb/provincial-constituency:pp-202,country:pk/province:pb
PP-201,Punjab,PP-201 Sahiwal-VI,Q59207549,country:pk/province:pb/provincial-constituency:pp-201,country:pk/province:pb
PP-203,Punjab,PP-203 Khanewal-I,Q59207551,country:pk/province:pb/provincial-constituency:pp-203,country:pk/province:pb
PP-204,Punjab,PP-204 Khanewal-II,Q59207552,country:pk/province:pb/provincial-constituency:pp-204,country:pk/province:pb
PP-205,Punjab,PP-205 Khanewal-III,Q59207553,country:pk/province:pb/provincial-constituency:pp-205,country:pk/province:pb
PP-207,Punjab,PP-207 Khanewal-V,Q59207556,country:pk/province:pb/provincial-constituency:pp-207,country:pk/province:pb
PP-208,Punjab,PP-208 Khanewal-VI,Q59207557,country:pk/province:pb/provincial-constituency:pp-208,country:pk/province:pb
PP-209,Punjab,PP-209 Khanewal-VII,Q59207559,country:pk/province:pb/provincial-constituency:pp-209,country:pk/province:pb
PP-206,Punjab,PP-206 Khanewal-IV,Q59207555,country:pk/province:pb/provincial-constituency:pp-206,country:pk/province:pb
PP-210,Punjab,PP-210 Khanewal-VIII,Q59207561,country:pk/province:pb/provincial-constituency:pp-210,country:pk/province:pb
PS-4,Sindh,PS-4 Kashmore-I,Q59207676,country:pk/province:sd/provincial-constituency:ps-4,country:pk/province:sd
PS-6,Sindh,PS-6 Kashmore-III,Q59207678,country:pk/province:sd/provincial-constituency:ps-6,country:pk/province:sd
PS-5,Sindh,PS-5 Kashmore-II,Q59207677,country:pk/province:sd/provincial-constituency:ps-5,country:pk/province:sd
PS-18,Sindh,PS-18 Ghotki-I,Q59207692,country:pk/province:sd/provincial-constituency:ps-18,country:pk/province:sd
PS-19,Sindh,PS-19 Ghotki-II,Q59207693,country:pk/province:sd/provincial-constituency:ps-19,country:pk/province:sd
PS-21,Sindh,PS-21 Ghotki-IV,Q59207696,country:pk/province:sd/provincial-constituency:ps-21,country:pk/province:sd
PS-20,Sindh,PS-20 Ghotki-III,Q59207694,country:pk/province:sd/provincial-constituency:ps-20,country:pk/province:sd
PS-23,Sindh,PS-23 Sukkur-II,Q59207698,country:pk/province:sd/provincial-constituency:ps-23,country:pk/province:sd
PS-22,Sindh,PS-22 Sukkur-I,Q59207697,country:pk/province:sd/provincial-constituency:ps-22,country:pk/province:sd
PS-24,Sindh,PS-24 Sukkur-III,Q59207700,country:pk/province:sd/provincial-constituency:ps-24,country:pk/province:sd
PS-25,Sindh,PS-25 Sukkur-IV,Q59207701,country:pk/province:sd/provincial-constituency:ps-25,country:pk/province:sd
PS-2,Sindh,PS-2 Jacobabad-II,Q59207672,country:pk/province:sd/provincial-constituency:ps-2,country:pk/province:sd
PS-1,Sindh,PS-1 Jacobabad-I,Q59207671,country:pk/province:sd/provincial-constituency:ps-1,country:pk/province:sd
PS-3,Sindh,PS-3 Jacobabad-III,Q59207675,country:pk/province:sd/provincial-constituency:ps-3,country:pk/province:sd
PS-9,Sindh,PS-9 Shikarpur-III,Q59207681,country:pk/province:sd/provincial-constituency:ps-9,country:pk/province:sd
